"title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"6th Day, The",2000,123,82000000,5.9,12064,"PG-13",1,0,0,0,0,0,0
"7th Voyage of Sinbad, The",1958,88,650000,6.9,1224,"",1,0,0,0,0,0,0
"8 Heads in a Duffel Bag",1997,94,NA,4.8,2076,"R",0,0,1,0,0,0,0
"8 Mile",2002,110,41000000,6.8,17900,"R",0,0,0,1,0,0,0
"8 femmes",2002,111,NA,7.1,5503,"R",0,0,1,0,0,0,0
"84 Charing Cross Road",1987,100,NA,7.3,1172,"",0,0,0,1,0,1,0
"8MM",1999,123,40000000,5.9,18541,"R",0,0,0,0,0,0,0
"AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,"PG-13",1,0,0,0,0,0,0
"Abandon",2002,99,25000000,4.7,2364,"PG-13",0,0,0,1,0,0,0
"Abominable Dr. Phibes, The",1971,94,NA,6.7,1547,"PG-13",0,0,0,0,0,0,0
"About Adam",2000,105,NA,6.4,1303,"R",0,0,1,0,0,1,0
"About Last Night...",1986,113,NA,5.9,3017,"",0,0,1,1,0,1,0
"About Schmidt",2002,125,30000000,7.3,23279,"R",0,0,1,1,0,0,0
"About a Boy",2002,101,27000000,7.5,18318,"PG-13",0,0,1,1,0,0,0
"Above the Law",1988,93,NA,5.2,3126,"",1,0,0,1,0,0,0
"Above the Rim",1994,96,NA,5.8,1065,"",0,0,0,1,0,0,0
"Abre los ojos",1997,117,NA,7.8,8087,"R",0,0,0,1,0,1,0
"Absence of Malice",1981,116,NA,6.8,1849,"",0,0,0,1,0,1,0
"Absent Minded Professor, The",1961,97,NA,6.5,1293,"",0,0,1,0,0,0,0
"Absolute Power",1997,121,50000000,6.4,7995,"R",0,0,0,1,0,0,0
"Abyss, The",1989,171,69500000,7.4,21987,"PG-13",1,0,0,1,0,0,0
"Accidental Tourist, The",1988,121,NA,6.7,4025,"",0,0,0,1,0,1,0
"Accused, The",1988,111,NA,7.1,4589,"",0,0,0,1,0,0,0
"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,"PG-13",0,0,1,0,0,0,0
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,"PG-13",0,0,1,0,0,0,0
"Ace in the Hole",1951,111,1821052,7.9,1097,"",0,0,0,1,0,0,0
"Acid House, The",1998,111,NA,5.8,1117,"",0,0,0,1,0,0,0
"Action Jackson",1988,96,NA,4.4,1743,"",1,0,1,0,0,0,0
"Adam's Rib",1949,101,NA,7.6,3282,"",0,0,1,0,0,1,0
"Adaptation.",2002,114,19000000,7.9,25140,"R",0,0,1,1,0,0,0
"Addams Family Values",1993,94,NA,6.1,7756,"",0,0,1,0,0,0,0
"Addams Family, The",1991,99,38000000,6.4,11549,"",0,0,1,0,0,0,0
"Addicted to Love",1997,100,NA,6,5445,"R",0,0,1,0,0,1,0
"Addiction, The",1995,82,NA,5.8,1425,"",0,0,0,1,0,0,0
"Adventures in Babysitting",1987,102,NA,6.3,5363,"",0,0,1,0,0,0,0
"Adventures of Baron Munchausen, The",1988,125,46630000,6.8,7927,"",0,0,1,0,0,0,0
"Adventures of Bob & Doug McKenzie: Strange Brew, The",1983,90,4000000,6.6,4556,"",0,0,1,0,0,0,0
"Adventures of Buckaroo Banzai Across the 8th Dimension, The",1984,103,NA,6.1,5036,"",0,0,1,0,0,1,0
"Adventures of Ford Fairlane, The",1990,104,NA,5.2,4133,"",1,0,1,0,0,0,0
"Adventures of Huck Finn, The",1993,108,6500000,5.9,1134,"",0,0,0,1,0,0,0
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,"PG-13",1,0,1,0,0,0,0
"Adventures of Priscilla, Queen of the Desert, The",1994,104,NA,7.2,7721,"",0,0,1,1,0,0,0
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,"PG",1,0,0,0,0,1,0
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,"PG",0,1,1,0,0,0,0
"Affair to Remember, An",1957,119,NA,7.2,3373,"",0,0,0,1,0,1,0
"Affliction",1997,114,6000000,6.9,3679,"R",0,0,0,1,0,0,0
"African Queen, The",1951,105,NA,8.1,13765,"",0,0,1,1,0,1,0
"After Hours",1985,96,4500000,7.4,5630,"",0,0,1,0,0,0,0
"After the Sunset",2004,97,58000000,6,3431,"PG-13",1,0,1,0,0,0,0
"After the Thin Man",1936,112,NA,7.5,1209,"",0,0,1,0,0,1,0
"Afterglow",1997,113,NA,6.1,1169,"R",0,0,1,1,0,1,0
"Against All Odds",1984,128,NA,5.6,1897,"",0,0,0,1,0,1,0
"Against the Ropes",2004,111,NA,5.2,1058,"PG-13",0,0,0,1,0,0,0
"Age of Innocence, The",1993,139,34000000,7.1,6049,"",0,0,0,1,0,1,0
"Agent Cody Banks",2003,102,26000000,5.5,2655,"PG",1,0,1,0,0,0,0
"Agnes of God",1985,98,NA,6.4,1561,"",0,0,0,1,0,0,0
"Aguirre, der Zorn Gottes",1972,100,NA,8,3926,"",0,0,0,1,0,0,0
"Ai no corrida",1976,101,NA,6.4,1601,"",0,0,0,1,0,1,0
"Air America",1990,115,NA,5.2,3793,"",1,0,1,0,0,0,0
"Air Bud",1997,98,3000000,4.7,1276,"PG",0,0,1,1,0,0,0
"Air Force One",1997,124,85000000,6.3,26156,"R",1,0,0,1,0,0,0
"Air Up There, The",1994,107,NA,5.2,1276,"",0,0,1,0,0,0,0
"Airborne",1993,91,2600000,5.2,1047,"",0,0,1,0,0,0,0
"Airheads",1994,92,NA,5.5,6105,"PG-13",0,0,1,0,0,0,0
"Airplane II: The Sequel",1982,85,NA,5.7,6622,"",0,0,1,0,0,0,0
"Airplane!",1980,88,3500000,7.8,23369,"",0,0,1,0,0,0,0
"Airport",1970,137,10000000,6.4,2918,"",0,0,0,1,0,0,0
"Airport '77",1977,114,NA,5.1,1440,"",1,0,0,1,0,0,0
"Airport 1975",1974,107,3000000,4.9,1385,"",1,0,0,1,0,0,0
"Akahige",1965,185,NA,7.8,1214,"",0,0,0,1,0,0,0
"Akira",1988,124,NA,7.7,14840,"R",1,1,0,1,0,0,0
"Aladdin",1992,90,28000000,7.6,22499,"",0,1,1,0,0,0,0
"Alamo, The",1960,192,12000000,6.6,2083,"",1,0,0,1,0,0,0
"Alamo, The",2004,137,95000000,5.9,3060,"PG-13",1,0,0,1,0,0,0
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,"R",0,0,1,0,0,0,0
"Albino Alligator",1996,97,5000000,6,2077,"R",0,0,0,1,0,0,0
"Aleksandr Nevskiy",1938,112,NA,7.8,1748,"",1,0,0,1,0,0,0
"Alex & Emma",2003,96,NA,5.3,2176,"PG-13",0,0,1,1,0,1,0
"Alexander",2004,175,150000000,5.5,11254,"R",0,0,0,1,0,0,0
"Alexis Zorbas",1964,142,NA,7.6,1722,"",0,0,0,1,0,0,0
"Alferd Packer: The Musical",1996,97,125000,7,2298,"R",0,0,1,0,0,1,0
"Alfie",1966,114,800000,7.1,1644,"",0,0,1,1,0,0,0
"Alfie",2004,103,60000000,6,3492,"R",0,0,1,1,0,0,0
"Ali",2001,165,107000000,6.4,9294,"R",0,0,0,1,0,0,0
"Ali G Indahouse",2002,88,NA,5.8,4496,"R",0,0,1,0,0,0,0
"Alice",1990,102,12000000,6.4,1706,"",0,0,1,1,0,1,0
"Alice Doesn't Live Here Anymore",1974,112,85000,7.3,2231,"",0,0,0,1,0,0,0
"Alice in Wonderland",1951,75,3000000,7.2,4656,"",0,1,1,0,0,0,0
"Alien",1979,116,11000000,8.3,63400,"R",0,0,0,0,0,0,0
"Alien Nation",1988,91,16000000,6,2171,"",0,0,0,1,0,0,0
"Alien: Resurrection",1997,116,70000000,6,24358,"R",1,0,0,0,0,0,0
"Aliens",1986,154,18500000,8.3,63961,"R",1,0,0,0,0,0,0
"Alive",1993,127,32000000,6.7,5786,"",1,0,0,1,0,0,0
"All About Eve",1950,138,NA,8.5,13038,"",0,0,0,1,0,0,0
"All About the Benjamins",2002,95,14000000,5.4,1250,"R",1,0,1,0,0,0,0
"All Dogs Go to Heaven",1989,89,NA,5.5,1769,"",0,1,0,0,0,0,0
"All Over the Guy",2001,95,NA,6.4,1039,"R",0,0,1,0,0,1,0
"All Quiet on the Western Front",1930,147,1200000,8.2,6835,"",1,0,0,1,0,0,0
"All That Jazz",1979,123,NA,7.5,3895,"",0,0,0,1,0,0,0
"All of Me",1984,93,NA,6.6,3381,"",0,0,1,0,0,0,0
"All the King's Men",1949,109,NA,7.6,1406,"",0,0,0,1,0,0,0
"All the President's Men",1976,138,8500000,8,12724,"",0,0,0,1,0,0,0
"All the Pretty Horses",2000,116,45000000,5.6,3133,"PG-13",0,0,0,1,0,0,0
"All the Real Girls",2003,108,1000000,6.8,1745,"R",0,0,0,1,0,1,0
"All the Right Moves",1983,91,NA,5.7,2171,"",0,0,0,1,0,1,0
"Allan Quatermain and the Lost City of Gold",1987,99,NA,3.8,1777,"",1,0,1,0,0,0,0
"Alligator",1980,89,1000000,5.5,1032,"",0,0,1,0,0,0,0
"Almost Famous",2000,162,60000000,8,38648,"R",0,0,1,1,0,0,0
"Almost Heroes",1998,90,NA,4.5,1944,"PG-13",0,0,1,0,0,0,0
"Alone in the Dark",2005,96,20000000,2.1,2880,"R",1,0,0,0,0,0,0
"Along Came Polly",2004,90,42000000,5.8,9785,"PG-13",0,0,1,0,0,1,0
"Along Came a Spider",2001,104,28000000,6.1,9456,"R",0,0,0,1,0,0,0
"Altered States",1980,102,NA,6.5,3398,"",0,0,0,1,0,0,0
"Always",1989,106,29500000,6.2,4913,"",0,0,0,1,0,1,0
"Amadeus",1984,180,18000000,8.3,36955,"R",0,0,0,1,0,0,0
"Amant, L'",1992,111,NA,6.5,2046,"R",0,0,0,1,0,1,0
"Amants du Pont-Neuf, Les",1991,125,NA,7.4,1564,"R",0,0,0,1,0,1,0
"Amarcord",1973,127,NA,7.9,4503,"",0,0,1,1,0,0,0
"Amateur",1994,105,NA,6.9,1686,"",0,0,1,1,0,0,0
"Amazon Women on the Moon",1987,85,NA,5.6,2540,"",0,0,1,0,0,0,0
"Amen.",2002,132,NA,7.3,1747,"",0,0,0,1,0,0,0
"America's Sweethearts",2001,102,48000000,5.8,11849,"PG-13",0,0,1,0,0,1,0
"American Beauty",1999,121,15000000,8.5,109991,"R",0,0,0,1,0,0,0
"American Flyers",1985,113,NA,6,1044,"",0,0,0,1,0,0,0
"American Gigolo",1980,117,4800000,5.7,2469,"",0,0,0,1,0,1,0
"American Graffiti",1973,110,777000,7.6,12758,"",0,0,1,1,0,0,0
"American History X",1998,119,10000000,8.4,59677,"R",0,0,0,1,0,0,0
"American Movie: The Making of Northwestern",1999,107,NA,7.5,3421,"R",0,0,0,0,1,0,0
"American Outlaws",2001,94,35000000,5.5,2878,"PG-13",1,0,1,0,0,0,0
"American Pie",1999,95,11000000,6.8,41126,"R",0,0,1,0,0,0,0
"American Pie 2",2001,105,30000000,6.3,22752,"R",0,0,1,0,0,0,0
"American President, The",1995,114,62000000,6.9,11834,"PG-13",0,0,1,1,0,1,0
"American Psycho",2000,102,8000000,6.8,21639,"R",0,0,0,1,0,0,0
"American Splendor",2003,101,NA,7.8,8530,"R",0,0,1,1,0,0,0
"American Tail, An",1986,80,NA,6.5,3219,"",0,1,1,1,0,0,0
"American Tail: Fievel Goes West, An",1991,75,NA,5.8,1772,"",0,1,1,0,0,0,0
"American Wedding",2003,103,55000000,6.3,13590,"R",0,0,1,0,0,0,0
"American Werewolf in London, An",1981,92,10000000,7.2,8347,"",0,0,1,0,0,1,0
"American Werewolf in Paris, An",1997,105,22000000,5,4302,"R",0,0,1,0,0,1,0
"American in Paris, An",1951,113,2723903,7.4,3736,"",0,0,0,0,0,1,0
"Amerikanische Freund, Der",1977,127,NA,7.1,1045,"",0,0,0,1,0,0,0
"Amistad",1997,152,40000000,7,10543,"R",0,0,0,1,0,0,0
"Amityville Horror, The",1979,117,NA,5.3,3279,"",0,0,0,1,0,0,0
"Amityville Horror, The",2005,90,18000000,5.8,2945,"R",0,0,0,0,0,0,0
"Amores perros",2000,153,2000000,8.2,15079,"R",0,0,0,1,0,0,0
"Amos & Andrew",1993,92,NA,5.2,1879,"",0,0,1,1,0,0,0
"Amsterdamned",1988,114,NA,6.3,1014,"",1,0,0,0,0,0,0
"Anaconda",1997,89,45000000,4.1,10510,"",1,0,0,0,0,0,0
"Anacondas: The Hunt for the Blood Orchid",2004,97,25000000,4.2,2258,"PG-13",0,0,0,0,0,0,0
"Analyze That",2002,96,NA,5.5,6863,"R",0,0,1,0,0,0,0
"Analyze This",1999,109,30000000,6.6,24521,"R",0,0,1,0,0,0,0
"Anastasia",1956,105,NA,7.2,1042,"",0,0,0,1,0,0,0
"Anastasia",1997,94,53000000,6.5,4896,"",0,1,0,0,0,0,0
"Anatomie",2000,103,NA,6.1,2501,"R",0,0,0,0,0,0,0
"Anatomy of a Murder",1959,160,NA,8,3901,"",0,0,0,1,0,0,0
"Anchorman: The Legend of Ron Burgundy",2004,104,26000000,6.5,11553,"PG-13",0,0,1,0,0,0,0
"And Now for Something Completely Different",1971,85,100000,7.4,3539,"",0,0,1,0,0,0,0
"And Then There Were None",1945,97,NA,7.7,1476,"",0,0,0,1,0,0,0
"Andromeda Strain, The",1971,131,NA,7.1,4042,"",0,0,0,0,0,0,0
"Angel Eyes",2001,102,38000000,5.6,4829,"R",0,0,0,1,0,1,0
"Angel Heart",1987,113,17000000,7.1,8335,"",0,0,0,0,0,0,0
"Angel at My Table, An",1990,158,NA,7.4,1101,"",0,0,0,1,0,0,0
"Angela's Ashes",1999,145,25000000,6.8,4347,"",0,0,0,1,0,0,0
"Angels & Insects",1995,116,NA,6.9,1357,"R",0,0,0,1,0,1,0
"Angels in the Outfield",1994,102,NA,5.3,2735,"",0,0,1,1,0,0,0
"Angels with Dirty Faces",1938,97,NA,7.7,2108,"",0,0,0,1,0,0,0
"Anger Management",2003,106,75000000,6,14280,"PG-13",0,0,1,0,0,0,0
"Angst essen Seele auf",1974,94,NA,7.8,1038,"",0,0,0,1,0,1,0
"Angus",1995,90,NA,6.3,1419,"PG-13",0,0,1,1,0,0,0
"Animal Crackers",1930,97,NA,7.6,2250,"",0,0,1,0,0,0,0
"Animal Factory",2000,94,NA,6.5,2118,"R",0,0,0,1,0,0,0
"Animal Farm",1954,72,NA,7,1066,"",0,1,0,1,0,0,0
"Animal House",1978,109,3000000,7.5,17609,"",0,0,1,0,0,0,0
"Animal, The",2001,84,22000000,4.8,5605,"R",0,0,1,0,0,0,0
"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,1536,"PG-13",1,1,0,0,0,0,1
"Anna and the King",1999,148,75000000,6.6,6739,"PG-13",0,0,0,1,0,1,0
"Annie",1982,126,50000000,5.7,3475,"",0,0,0,0,0,0,0
"Annie Hall",1977,93,4000000,8.3,21462,"",0,0,1,0,0,1,0
"Anniversary Party, The",2001,115,NA,6.4,3057,"R",0,0,1,1,0,0,0
"Another 48 Hrs.",1990,93,NA,5.1,4569,"",1,0,1,1,0,0,0
"Another Day in Paradise",1998,101,NA,6.3,1872,"R",0,0,0,1,0,0,0
"Another Stakeout",1993,105,NA,5.2,2332,"",0,0,1,0,0,0,0
"Another Woman",1988,84,10000000,7.2,1380,"",0,0,0,1,0,0,0
"Antitrust",2001,108,30000000,6,7326,"PG-13",0,0,0,1,0,0,0
"Antonia",1995,102,NA,7.4,2320,"R",0,0,1,1,0,0,0
"Antwone Fisher",2002,117,12500000,7.4,4472,"PG-13",0,0,0,1,0,0,0
"Antz",1998,83,60000000,7,16312,"PG",0,1,1,0,0,0,0
"Any Given Sunday",1999,156,62000000,6.4,19531,"R",0,0,0,1,0,0,0
"Any Which Way You Can",1980,116,NA,5.3,1958,"",0,0,1,0,0,0,0
"Anything Else",2003,108,18000000,6.5,3678,"R",0,0,1,0,0,1,0
"Anywhere But Here",1999,114,23000000,5.9,4007,"PG-13",0,0,0,1,0,0,0
"Apartment, The",1960,125,3000000,8.4,11214,"",0,0,1,1,0,1,0
"Apocalypse Now",1979,202,31500000,8.5,64785,"R",1,0,0,1,0,0,0
"Apollo 13",1995,140,62000000,7.5,41098,"PG",0,0,0,1,0,0,0
"Apostle, The",1997,134,5000000,7.2,4231,"PG-13",0,0,0,1,0,0,0
"Appartement, L'",1996,116,NA,7.6,1810,"",0,0,0,1,0,1,0
"Apt Pupil",1998,112,14000000,6.4,6728,"R",0,0,0,1,0,0,0
"Arachnophobia",1990,103,31000000,6.1,8608,"",0,0,1,0,0,0,0
"Ararat",2002,115,NA,7.1,3594,"R",0,0,0,1,0,0,0
"Are We There Yet?",2005,95,32000000,3.5,1043,"PG",0,0,1,0,0,0,0
"Aristocats, The",1970,78,4000000,6.6,2972,"",0,1,0,0,0,1,0
"Arizona Dream",1993,142,NA,7,3578,"",0,0,1,1,0,0,0
"Arlington Road",1999,117,21500000,7.1,17189,"R",0,0,0,1,0,0,0
"Armageddon",1998,153,140000000,5.7,45330,"PG-13",1,0,0,0,0,0,0
"Armed and Dangerous",1986,88,NA,4.8,1737,"",0,0,1,0,0,0,0
"Army of Darkness",1993,96,11000000,7.4,22118,"R",1,0,1,0,0,0,0
"Around the World in 80 Days",2004,120,110000000,5.7,3887,"PG",1,0,1,0,0,1,0
"Around the World in Eighty Days",1956,175,6000000,6.8,2589,"",0,0,1,0,0,0,0
"Arrival, The",1996,115,NA,6,4723,"PG-13",1,0,0,0,0,0,0
"Arthur",1981,97,7000000,6.6,4595,"",0,0,1,0,0,1,0
"Arthur 2: On the Rocks",1988,107,NA,3.6,1646,"",0,0,1,0,0,1,0
"Artificial Intelligence: AI",2001,146,90000000,6.8,36623,"PG-13",0,0,0,1,0,0,0
"As Good as It Gets",1997,139,50000000,7.7,47441,"PG-13",0,0,1,1,0,1,0
"Asphalt Jungle, The",1950,112,NA,7.8,2523,"",0,0,0,1,0,0,0
"Assassination of Richard Nixon, The",2004,95,NA,7.1,1624,"R",0,0,0,1,0,0,0
"Assassins",1995,132,50000000,5.7,7354,"R",1,0,0,0,0,0,0
"Assault on Precinct 13",1976,91,100000,7.3,4093,"",1,0,0,0,0,0,0
"Assault on Precinct 13",2005,109,20000000,6.3,2960,"R",1,0,0,1,0,0,0
"Associate, The",1996,114,NA,5.5,1341,"PG-13",0,0,1,0,0,0,0
"Astronaut's Wife, The",1999,109,34000000,4.8,7253,"R",0,0,0,0,0,0,0
"At Close Range",1986,111,6500000,6.6,1650,"",0,0,0,1,0,1,0
"At First Sight",1999,128,40000000,5.7,3441,"PG-13",0,0,0,1,0,0,0
"Atalante, L'",1934,89,NA,7.7,1172,"",0,0,1,1,0,1,0
"Atanarjuat",2001,168,NA,7.3,1921,"R",0,0,0,1,0,0,0
"Atlantic City",1980,104,7200000,7.5,2384,"",0,0,0,1,0,1,0
"Atlantis: The Lost Empire",2001,95,90000000,6.4,6323,"PG",1,1,0,0,0,0,0
"Attack of the Killer Tomatoes!",1978,87,NA,3.9,2094,"",0,0,1,0,0,0,0
"Au revoir les enfants",1987,104,NA,7.9,3368,"",0,0,0,1,0,0,0
"Auberge espagnole, L'",2002,117,NA,7.3,4273,"R",0,0,1,1,0,1,0
"Auntie Mame",1958,143,NA,7.5,2357,"",0,0,1,1,0,0,0
"Austin Powers in Goldmember",2002,94,63000000,6.2,22870,"PG-13",1,0,1,0,0,0,0
"Austin Powers: International Man of Mystery",1997,94,17000000,7,33755,"PG-13",1,0,1,0,0,0,0
"Austin Powers: The Spy Who Shagged Me",1999,95,33000000,6.5,37019,"PG-13",1,0,1,0,0,0,0
"Auto Focus",2002,105,7000000,6.7,3276,"R",0,0,0,1,0,0,0
"Autumn in New York",2000,103,40000000,4.7,3731,"PG-13",0,0,0,1,0,1,0
"Avalon",1990,126,NA,7.3,1641,"",0,0,0,1,0,0,0
"Avalon",2001,106,8000000,6.8,2723,"R",0,1,0,1,0,0,0
"Avanti!",1972,140,2750000,7.2,1043,"",0,0,1,1,0,1,0
"Avengers, The",1998,89,60000000,3.4,11499,"PG-13",1,0,0,0,0,0,0
"Aventures de Rabbi Jacob, Les",1973,91,NA,7.2,1046,"",0,0,1,0,0,0,0
"Aviator, The",2004,170,116000000,7.5,16217,"PG-13",0,0,0,1,0,0,0
"Avventura, L'",1960,145,NA,7.5,1727,"",0,0,0,1,0,1,0
"Awakenings",1990,121,NA,7.4,11835,"",0,0,0,1,0,0,0
"Awful Truth, The",1937,91,NA,7.8,1729,"",0,0,1,0,0,1,0
"Azumi",2003,142,NA,7,1347,"",1,0,0,1,0,0,0
"BASEketball",1998,103,NA,6.1,7096,"R",0,0,1,0,0,0,0
"Ba wang bie ji",1993,171,NA,7.7,3098,"R",0,0,0,1,0,1,0
"Babe",1995,89,30000000,7.4,16988,"",0,0,1,1,0,0,0
"Babe, The",1992,115,NA,5.5,1399,"",0,0,0,1,0,0,0
"Babe: Pig in the City",1998,97,80000000,6.5,3827,"",0,0,1,0,0,0,0
"Baby Boom",1987,110,NA,5.7,2151,"",0,0,1,0,0,1,0
"Baby Boy",2001,130,16000000,6.2,1476,"R",0,0,0,1,0,1,0
"Baby Geniuses",1999,97,13000000,2.4,3142,"PG",0,0,1,0,0,0,0
"Baby's Day Out",1994,99,50000000,4.4,1856,"",0,0,1,0,0,0,0
"Bacheha-Ye aseman",1997,89,180000,7.6,1499,"",0,0,1,1,0,0,0
"Bachelor Party",1984,105,NA,5.6,4938,"",0,0,1,0,0,0,0
"Bachelor, The",1999,101,21000000,5,4183,"PG-13",0,0,1,0,0,1,0
"Back to School",1986,96,NA,6,4245,"",0,0,1,0,0,0,0
"Back to the Future",1985,111,19000000,8.1,68647,"",1,0,1,0,0,0,0
"Back to the Future Part II",1989,108,40000000,7,28547,"",0,0,1,0,0,0,0
"Back to the Future Part III",1990,118,40000000,6.7,24682,"",0,0,1,0,0,0,0
"Backbeat",1994,100,NA,6.5,1222,"",0,0,0,1,0,0,0
"Backdraft",1991,132,NA,6.6,12637,"R",1,0,0,1,0,0,0
"Backyard Dogs",2000,96,NA,1.9,1304,"R",1,0,0,1,0,0,0
"Bad Boy Bubby",1993,112,750000,7,1033,"",0,0,1,1,0,0,0
"Bad Boys",1983,123,NA,6.7,1658,"",0,0,0,1,0,0,0
"Bad Boys",1995,118,23000000,6.4,15326,"R",1,0,1,0,0,0,0
"Bad Boys II",2003,145,130000000,6.1,13087,"R",1,0,1,0,0,0,0
"Bad Company",2002,116,70000000,5.4,6175,"PG-13",1,0,1,0,0,0,0
"Bad Day at Black Rock",1955,81,NA,7.7,2217,"",0,0,0,1,0,0,0
"Bad Girls",1994,99,NA,4.8,2150,"",0,0,0,0,0,0,0
"Bad Influence",1990,99,NA,5.6,1322,"",0,0,0,1,0,0,0
"Bad Lieutenant",1992,98,NA,6.6,4345,"",0,0,0,1,0,0,0
"Bad News Bears, The",1976,102,NA,6.8,2711,"",0,0,1,0,0,0,0
"Bad Santa",2003,98,18000000,7.2,11189,"R",0,0,1,0,0,0,0
"Bad Seed, The",1956,129,1000000,7.3,1229,"",0,0,0,0,0,0,0
"Bad Taste",1987,86,150000,6.9,7048,"",0,0,1,0,0,0,0
"Bad and the Beautiful, The",1952,118,1558000,7.6,1358,"",0,0,0,1,0,0,0
"Badlands",1973,94,500000,7.7,4763,"",0,0,0,1,0,0,0
"Baise-moi",2000,74,NA,4.8,3299,"",0,0,0,1,0,0,0
"Bait",2000,119,35000000,5.6,1884,"R",1,0,1,0,0,0,0
"Ball of Fire",1941,111,NA,7.6,1096,"",0,0,1,0,0,1,0
"Ballistic: Ecks vs. Sever",2002,91,70000000,3.4,4556,"R",1,0,0,0,0,0,0
"Balto",1995,74,NA,6.2,1054,"",0,1,0,0,0,0,0
